incident_state	date	transportation	serious_incident	latitude	longitude
OH	1985-01-04	H	0	39.9611755	-82.9987942
MS	1985-01-08	H	0	32.2987573	-90.1848103
OH	1985-01-12	R	0	39.1031182	-84.5120196
WA	1985-01-14	H	0	47.4739884	-122.2609558
MI	1985-01-17	H	0	42.6064095	-83.1497751
IL	1985-01-24	H	0	41.465587	-88.6645179
LA	1985-01-24	R	0	30.4582829	-91.1403196
OH	1985-01-30	F	0	39.1031182	-84.5120196
NJ	1985-02-14	R	1	40.5773266	-74.2282005
NM	1985-02-16	R	0	35.0853336	-106.6055534
IN	1985-02-22	R	0	40.1933767	-85.3863599
OH	1985-03-08	H	0	39.1031182	-84.5120196
NC	1985-03-11	H	0	35.2270869	-80.8431267
VA	1985-03-12	F	0	37.5407246	-77.4360481
PA	1985-03-21	R	0	40.1431467	-77.0619228
MI	1985-03-22	F	0	42.331427	-83.0457538
MD	1985-03-26	H	0	39.2903848	-76.6121893
MA	1985-03-29	R	1	42.587915	-72.5994104
MO	1985-04-05	H	0	38.3475584	-90.9834027
TX	1985-04-09	H	0	32.7554883	-97.3307658
TX	1985-04-09	H	0	32.7554883	-97.3307658
MD	1985-04-09	F	0	39.2903848	-76.6121893
KS	1985-04-09	H	0	37.6871761	-97.330053
IL	1985-04-10	F	0	39.7817213	-89.6501481
NE	1985-04-12	R	0	41.2523634	-95.9979883
IN	1985-04-12	R	0	39.768403	-86.158068
NE	1985-04-21	R	0	40.5862583	-98.3898726
IA	1985-04-29	H	0	42.4999942	-96.4003069
FL	1985-05-17	H	0	28.0394654	-81.9498042
MI	1985-05-17	F	0	42.331427	-83.0457538
IN	1985-05-20	H	0	39.768403	-86.158068
MI	1985-05-28	H	0	42.2917069	-85.5872286
CT	1985-05-29	F	0	41.2306979	-73.064036
TN	1985-06-01	R	0	35.9606384	-83.9207392
TX	1985-06-03	H	0	32.7766642	-96.7969879
NJ	1985-06-13	R	0	40.7684342	-74.1454214
IL	1985-06-14	R	0	39.8403147	-88.9548001
IL	1985-06-14	R	0	41.8781136	-87.6297982
NY	1985-06-19	H	0	40.6956552	-73.3256753
MD	1985-06-25	R	0	39.2401735	-76.6806441
CO	1985-06-25	R	0	39.7392358	-104.990251
NY	1985-06-27	H	0	43.16103	-77.6109219
IL	1985-06-29	R	0	41.6333678	-87.6331021
CO	1985-07-01	R	0	39.7392358	-104.990251
IA	1985-07-03	H	0	41.6005448	-93.6091064
LA	1985-07-05	H	1	30.2365943	-93.3773783
MN	1985-07-20	H	0	44.7677424	-93.2777226
NJ	1985-07-29	H	0	39.926813	-75.0246312
MO	1985-07-30	H	0	39.0997265	-94.5785667
WA	1985-08-01	H	0	47.6062095	-122.3320708
MN	1985-08-03	H	0	44.7677424	-93.2777226
IN	1985-08-05	H	0	40.1053196	-85.6802541
WA	1985-08-08	H	0	47.6062095	-122.3320708
NC	1985-08-10	H	0	35.7795897	-78.6381787
LA	1985-08-15	H	0	30.4474878	-91.2073261
TX	1985-08-15	H	0	32.7766642	-96.7969879
NY	1985-09-04	H	0	42.0775906	-73.9529126
GA	1985-09-04	H	0	33.7489954	-84.3879824
OH	1985-09-05	H	1	40.7989473	-81.378447
PA	1985-09-06	H	0	41.408969	-75.6624122
TN	1985-09-07	A	0	35.1495343	-90.0489801
NY	1985-09-11	H	0	41.4839827	-74.2176487
NJ	1985-09-13	F	0	40.7281575	-74.0776417
IA	1985-09-19	H	0	41.6005448	-93.6091064
PA	1985-10-05	H	0	40.17396	-80.2461714
VA	1985-10-07	R	0	36.7682088	-76.2874927
VA	1985-10-08	F	0	38.7509488	-77.4752667
VA	1985-10-09	R	0	36.7682088	-76.2874927
PA	1985-10-09	F	0	39.9625984	-76.727745
NC	1985-10-09	H	0	36.0726354	-79.7919754
MI	1985-10-09	F	0	42.331427	-83.0457538
OH	1985-10-13	R	0	41.6639383	-83.555212
NM	1985-10-15	H	0	35.0853336	-106.6055534
IL	1985-10-15	F	0	39.8403147	-88.9548001
NJ	1985-10-16	R	0	40.5653823	-74.2604236
OH	1985-10-24	F	0	40.75839	-82.5154471
MO	1985-10-25	H	0	38.6270025	-90.1994042
OH	1985-10-29	H	0	39.9611755	-82.9987942
IL	1985-11-04	F	0	40.124481	-87.6300207
GA	1985-11-07	H	0	33.6418635	-84.3357992
OH	1985-11-07	F	0	40.742551	-84.1052256
PA	1985-11-11	H	0	40.3117361	-79.6561538
NY	1985-12-05	F	0	42.0986867	-75.9179738
TN	1985-12-12	R	1	35.9606384	-83.9207392
MD	1985-12-13	H	0	39.0348317	-76.9074739
WA	1985-12-17	H	0	47.6062095	-122.3320708
TN	1986-01-02	H	0	35.9606384	-83.9207392
NY	1986-01-03	F	0	43.16103	-77.6109219
OH	1986-01-10	H	0	39.9611755	-82.9987942
NC	1986-01-20	H	0	36.0726354	-79.7919754
WA	1986-01-20	H	0	47.6062095	-122.3320708
IA	1986-01-22	H	0	41.5236437	-90.5776367
OH	1986-01-28	H	0	39.9611755	-82.9987942
ME	1986-02-04	R	0	45.2489449	-68.5683578
OH	1986-02-04	H	0	39.9611755	-82.9987942
VA	1986-02-05	F	0	38.7509488	-77.4752667
PA	1986-02-21	H	0	40.1000961	-76.3541265
MI	1986-02-25	F	0	42.331427	-83.0457538
MI	1986-02-26	F	0	42.331427	-83.0457538
OH	1986-03-01	F	0	41.6639383	-83.555212
AR	1986-03-07	R	0	35.3098066	-91.5679114
AR	1986-03-10	H	0	34.550177	-90.6413226
OH	1986-03-12	H	0	39.9611755	-82.9987942
WA	1986-03-13	H	0	47.6062095	-122.3320708
WA	1986-03-19	H	0	46.6020711	-120.5058987
CO	1986-03-24	H	0	38.8338816	-104.8213634
TX	1986-03-25	H	0	32.7766642	-96.7969879
NC	1986-04-07	H	0	36.0726354	-79.7919754
MO	1986-04-10	H	0	39.0997265	-94.5785667
IL	1986-04-14	H	0	41.7979111	-87.8374902
WV	1986-04-24	H	0	38.4192496	-82.445154
GA	1986-05-03	H	0	33.7123595	-84.3844304
AL	1986-05-20	H	0	34.6059253	-86.9833417
TX	1986-05-21	H	0	29.4241219	-98.4936282
OH	1986-05-30	R	0	41.2400091	-83.1495219
IA	1986-06-03	H	0	41.5236437	-90.5776367
